Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6796","Humid tropical forest","2012","2012","ha","547744.5538","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6796","Humid tropical forest","2013","2013","ha","335275.3923","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6796","Humid tropical forest","2014","2014","ha","1494539.594","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6796","Humid tropical forest","2015","2015","ha","1956592.402","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6796","Humid tropical forest","2016","2016","ha","162582.4842","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6796","Humid tropical forest","2017","2017","ha","162582.4842","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6796","Humid tropical forest","2012","2012","tonnes","27638465.53","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6796","Humid tropical forest","2013","2013","tonnes","17412950.61","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6796","Humid tropical forest","2014","2014","tonnes","72623032.65","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6796","Humid tropical forest","2015","2015","tonnes","96424442.19","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6796","Humid tropical forest","2016","2016","tonnes","8523967.132","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6796","Humid tropical forest","2017","2017","tonnes","8523967.132","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6796","Humid tropical forest","2012","2012","g N20/kg dry matter","0.2112","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6796","Humid tropical forest","2013","2013","g N20/kg dry matter","0.2059","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6796","Humid tropical forest","2014","2014","g N20/kg dry matter","0.2177","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6796","Humid tropical forest","2015","2015","g N20/kg dry matter","0.2131","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6796","Humid tropical forest","2016","2016","g N20/kg dry matter","0.2018","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6796","Humid tropical forest","2017","2017","g N20/kg dry matter","0.2018","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6796","Humid tropical forest","2012","2012","g CH4/kg dry matter","7.1864","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6796","Humid tropical forest","2013","2013","g CH4/kg dry matter","7.0047","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6796","Humid tropical forest","2014","2014","g CH4/kg dry matter","7.4082","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6796","Humid tropical forest","2015","2015","g CH4/kg dry matter","7.2523","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6796","Humid tropical forest","2016","2016","g CH4/kg dry matter","6.8697","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6796","Humid tropical forest","2017","2017","g CH4/kg dry matter","6.8697","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6796","Humid tropical forest","2012","2012","gigagrams","5.8368","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6796","Humid tropical forest","2013","2013","gigagrams","3.5851","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6796","Humid tropical forest","2014","2014","gigagrams","15.8079","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6796","Humid tropical forest","2015","2015","gigagrams","20.5502","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6796","Humid tropical forest","2016","2016","gigagrams","1.7205","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6796","Humid tropical forest","2017","2017","gigagrams","1.7205","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6796","Humid tropical forest","2012","2012","gigagrams","198.6207","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6796","Humid tropical forest","2013","2013","gigagrams","121.9732","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6796","Humid tropical forest","2014","2014","gigagrams","538.0041","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6796","Humid tropical forest","2015","2015","gigagrams","699.3021","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6796","Humid tropical forest","2016","2016","gigagrams","58.5568","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6796","Humid tropical forest","2017","2017","gigagrams","58.5568","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6796","Humid tropical forest","2012","2012","gigagrams","1809.3978","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6796","Humid tropical forest","2013","2013","gigagrams","1111.3878","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6796","Humid tropical forest","2014","2014","gigagrams","4900.4586","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6796","Humid tropical forest","2015","2015","gigagrams","6370.5651","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6796","Humid tropical forest","2016","2016","gigagrams","533.3587","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6796","Humid tropical forest","2017","2017","gigagrams","533.3587","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6796","Humid tropical forest","2012","2012","gigagrams","4171.034","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6796","Humid tropical forest","2013","2013","gigagrams","2561.4373","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6796","Humid tropical forest","2014","2014","gigagrams","11298.0866","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6796","Humid tropical forest","2015","2015","gigagrams","14685.3435","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6796","Humid tropical forest","2016","2016","gigagrams","1229.6923","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6796","Humid tropical forest","2017","2017","gigagrams","1229.6923","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6796","Humid tropical forest","2012","2012","gigagrams","5980.4318","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6796","Humid tropical forest","2013","2013","gigagrams","3672.8251","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6796","Humid tropical forest","2014","2014","gigagrams","16198.5453","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6796","Humid tropical forest","2015","2015","gigagrams","21055.9086","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6796","Humid tropical forest","2016","2016","gigagrams","1763.051","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6796","Humid tropical forest","2017","2017","gigagrams","1763.051","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6797","Other forest","2012","2012","ha","15047.5735","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6797","Other forest","2013","2013","ha","3370.1413","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6797","Other forest","2014","2014","ha","16958.0357","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6797","Other forest","2015","2015","ha","63302.8447","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6797","Other forest","2016","2016","ha","2082.1892","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6797","Other forest","2017","2017","ha","2082.1892","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6797","Other forest","2012","2012","tonnes","778324.4799","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6797","Other forest","2013","2013","tonnes","169430.0966","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6797","Other forest","2014","2014","tonnes","867697.6064","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6797","Other forest","2015","2015","tonnes","3242219.735","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6797","Other forest","2016","2016","tonnes","110164.978","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6797","Other forest","2017","2017","tonnes","110164.978","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6797","Other forest","2012","2012","g N20/kg dry matter","0.2312","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6797","Other forest","2013","2013","g N20/kg dry matter","0.2323","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6797","Other forest","2014","2014","g N20/kg dry matter","0.2253","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6797","Other forest","2015","2015","g N20/kg dry matter","0.2272","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6797","Other forest","2016","2016","g N20/kg dry matter","0.201","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6797","Other forest","2017","2017","g N20/kg dry matter","0.201","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6797","Other forest","2012","2012","g CH4/kg dry matter","5.6988","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6797","Other forest","2013","2013","g CH4/kg dry matter","6.3209","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6797","Other forest","2014","2014","g CH4/kg dry matter","6.3347","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6797","Other forest","2015","2015","g CH4/kg dry matter","6.1481","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6797","Other forest","2016","2016","g CH4/kg dry matter","6.758","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6797","Other forest","2017","2017","g CH4/kg dry matter","6.758","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6797","Other forest","2012","2012","gigagrams","0.1799","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6797","Other forest","2013","2013","gigagrams","0.0394","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6797","Other forest","2014","2014","gigagrams","0.1955","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6797","Other forest","2015","2015","gigagrams","0.7367","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6797","Other forest","2016","2016","gigagrams","0.0221","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6797","Other forest","2017","2017","gigagrams","0.0221","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6797","Other forest","2012","2012","gigagrams","4.4355","Fc","Calculated data"
